# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID.1,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat.1,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT,DIP,DIP.1,target_pregnant,et_month,et_dayofweek,opu_lag_days,freeze_lag_days
85.0,DZF,DZF,DZF,2025-10-26,DZF,196,Local crossbred,Cow,Yes,right,16.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
86.0,DZF,DZF,DZF,2025-10-26,DZF,198,Local crossbred,Cow,,right,18.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-18,827,Red Brahman,3.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,115.0,1.0,2025-10,6.0,8.0,
87.0,DZF,DZF,DZF,2025-10-26,DZF,185,Local crossbred,Cow,,right,13.2,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-18,609,Grey Brahman,2.3,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,115.0,1.0,2025-10,6.0,8.0,
88.0,DZF,DZF,DZF,2025-10-26,DZF,202,Local crossbred,Cow,Yes,right,17.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
89.0,DZF,DZF,DZF,2025-10-26,DZF,209,Local crossbred,Cow,Yes,right,15.2,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,827,Red Brahman,3.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
90.0,DZF,DZF,DZF,2025-10-26,DZF,210,Local crossbred,Cow,Yes,right,16.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6.0,1.0,,7.0,,Open,,,,2025-10-18,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
91.0,DZF,DZF,DZF,2025-10-26,DZF,211,Local crossbred,Cow,Yes,right,12.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-18,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,115.0,1.0,2025-10,6.0,8.0,
92.0,DZF,DZF,DZF,2025-10-26,DZF,212,Local crossbred,Cow,Yes,left,13.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
93.0,DZF,DZF,DZF,2025-10-26,DZF,215,Local crossbred,Cow,Yes,right,16.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,8.0,1.0,,7.0,,Open,,,,2025-10-18,649,Grey Brahman,1.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
94.0,DZF,DZF,DZF,2025-10-26,DZF,217,Local crossbred,Cow,Yes,right,16.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
95.0,DZF,DZF,DZF,2025-10-26,DZF,219,Local crossbred,Cow,Yes,right,13.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-18,827,Red Brahman,3.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,115.0,1.0,2025-10,6.0,8.0,
96.0,DZF,DZF,DZF,2025-10-26,DZF,222,Local crossbred,Cow,Yes,left,15.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,909,Grey Brahman,2.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
97.0,DZF,DZF,DZF,2025-10-26,DZF,223,Local crossbred,Cow,,left,15.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
98.0,DZF,DZF,DZF,2025-10-26,DZF,226,Local crossbred,Cow,,left,15.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,649,Grey Brahman,1.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
99.0,DZF,DZF,DZF,2025-10-26,DZF,228,Local crossbred,Cow,Yes,left,15.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,827,Red Brahman,3.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
100.0,DZF,DZF,DZF,2025-10-26,DZF,229,Local crossbred,Cow,Yes,left,18.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-18,649,Grey Brahman,1.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,115.0,1.0,2025-10,6.0,8.0,
101.0,DZF,DZF,DZF,2025-10-26,DZF,230,Local crossbred,Cow,Yes,left,18.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6.0,1.0,,7.0,,Open,,,,2025-10-18,827,Red Brahman,3.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
102.0,DZF,DZF,DZF,2025-10-26,DZF,188,Local crossbred,Cow,Yes,left,13.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6.0,1.0,,7.0,,Open,,,,2025-10-18,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
103.0,DZF,DZF,DZF,2025-10-26,DZF,239,Local crossbred,Cow,Yes,left,16.6,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,608,Grey Brahman,1.9,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
104.0,DZF,DZF,DZF,2025-10-26,DZF,246,Local crossbred,Cow,Yes,right,12.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
105.0,DZF,DZF,DZF,2025-10-26,DZF,268,Local crossbred,Cow,Yes,right,17.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6.0,1.0,,7.0,,Open,,,,2025-10-18,827,Red Brahman,3.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
106.0,DZF,DZF,DZF,2025-10-26,DZF,322,Local crossbred,Cow,Yes,left,12.0,Natural heat,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,649,Grey Brahman,1.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
107.0,DZF,DZF,DZF,2025-10-26,DZF,303,Local crossbred,Cow,Yes,right,12.0,Natural heat,Fresh,,,Ruben,Masroor,,7.0,1.0,,7.0,,Open,,,,2025-10-18,827,Red Brahman,3.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,6.0,8.0,
108.0,DZF,DZF,DZF,2025-10-27,DZF,96,Local crossbred,Cow,,left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,204,Red Brahman,3.7,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,,0.0,2025-10,0.0,8.0,
109.0,DZF,DZF,DZF,2025-10-27,DZF,97,Local crossbred,Cow,,right,13.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-19,204,Red Brahman,3.7,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,114.0,1.0,2025-10,0.0,8.0,
110.0,DZF,DZF,DZF,2025-10-27,DZF,62,Local crossbred,Cow,,right,10.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,8.0,1.0,,7.0,,Open,,,,2025-10-19,D2,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
111.0,DZF,DZF,DZF,2025-10-27,DZF,109,Local crossbred,Cow,,right,13.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,,0.0,2025-10,0.0,8.0,
112.0,DZF,DZF,DZF,2025-10-27,DZF,32038,Local crossbred,Cow,Yes,left,15.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,257,Grey Brahman,1.6,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
113.0,DZF,DZF,DZF,2025-10-27,DZF,32144,Local crossbred,Cow,Yes,right,16.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-19,D2,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,Dawood,-114.0,114.0,1.0,2025-10,0.0,8.0,
114.0,DZF,DZF,DZF,2025-10-27,DZF,32240,Local crossbred,Cow,Yes,right,20.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
115.0,DZF,DZF,DZF,2025-10-27,DZF,32835,Local crossbred,Cow,,left,16.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,D3,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
116.0,DZF,DZF,DZF,2025-10-27,DZF,76,Local crossbred,Cow,Yes,right,15.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,6.0,1.0,,7.0,,Open,,,,2025-10-19,257,Grey Brahman,1.6,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
117.0,DZF,DZF,DZF,2025-10-27,DZF,79,Local crossbred,Cow,Yes,right,11.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,257,Grey Brahman,1.6,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
118.0,DZF,DZF,DZF,2025-10-27,DZF,90,Local crossbred,Cow,,right,13.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-19,204,Red Brahman,3.7,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,114.0,1.0,2025-10,0.0,8.0,
119.0,DZF,DZF,DZF,2025-10-27,DZF,91,Local crossbred,Cow,,left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,6.0,1.0,,7.0,,Open,,,,2025-10-19,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,,0.0,2025-10,0.0,8.0,
120.0,DZF,DZF,DZF,2025-10-27,DZF,56,Local crossbred,Cow,,right,17.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,,0.0,2025-10,0.0,8.0,
121.0,DZF,DZF,DZF,2025-10-27,DZF,65,Local crossbred,Cow,,right,11.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,8.0,1.0,,7.0,,Pregnant,,,,2025-10-19,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,114.0,1.0,2025-10,0.0,8.0,
122.0,DZF,DZF,DZF,2025-10-27,DZF,105,Local crossbred,Cow,Yes,right,13.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
123.0,DZF,DZF,DZF,2025-10-27,DZF,31518,Local crossbred,Cow,Yes,left,18.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,,0.0,2025-10,0.0,8.0,
124.0,DZF,DZF,DZF,2025-10-27,DZF,31546,Local crossbred,Cow,Yes,right,13.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-19,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,114.0,1.0,2025-10,0.0,8.0,
125.0,DZF,DZF,DZF,2025-10-27,DZF,31947,Local crossbred,Cow,,right,13.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,6.0,1.0,,7.0,,Open,,,,2025-10-19,257,Grey Brahman,1.6,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
126.0,DZF,DZF,DZF,2025-10-27,DZF,31996,Local crossbred,Cow,,right,15.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,8.0,1.0,,7.0,,Open,,,,2025-10-19,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,,0.0,2025-10,0.0,8.0,
127.0,DZF,DZF,DZF,2025-10-27,DZF,32005,Local crossbred,Cow,Yes,left,16.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
128.0,DZF,DZF,DZF,2025-10-27,DZF,32093,Local crossbred,Cow,Yes,right,17.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
129.0,DZF,DZF,DZF,2025-10-27,DZF,32096,Local crossbred,Cow,,right,12.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,Yes,7.0,,Open,,,,2025-10-19,608,Grey Brahman,1.9,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
130.0,DZF,DZF,DZF,2025-10-27,DZF,32107,Local crossbred,Cow,,right,17.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,8.0,1.0,,7.0,,Open,,,,2025-10-19,D2,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
131.0,DZF,DZF,DZF,2025-10-27,DZF,32115,Local crossbred,Cow,,left,16.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,257,Grey Brahman,1.6,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
132.0,DZF,DZF,DZF,2025-10-27,DZF,32216,Local crossbred,Cow,,right,12.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,8.0,1.0,,7.0,,Pregnant,,,,2025-10-19,D2,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,Dawood,-114.0,114.0,1.0,2025-10,0.0,8.0,
133.0,DZF,DZF,DZF,2025-10-27,DZF,32305,Local crossbred,Cow,Yes,right,18.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
134.0,DZF,DZF,DZF,2025-10-27,DZF,32391,Local crossbred,Cow,,right,11.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,8.0,1.0,,7.0,,Open,,,,2025-10-19,D2,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
135.0,DZF,DZF,DZF,2025-10-27,DZF,32395,Local crossbred,Cow,,right,15.7,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,,0.0,2025-10,0.0,8.0,
136.0,DZF,DZF,DZF,2025-10-27,DZF,77,Local crossbred,Cow,,right,16.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
137.0,DZF,DZF,DZF,2025-10-27,DZF,63,Local crossbred,Cow,Yes,right,15.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
138.0,DZF,DZF,DZF,2025-10-27,DZF,75,Local crossbred,Cow,Yes,left,10.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,257,Grey Brahman,1.6,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
139.0,DZF,DZF,DZF,2025-10-27,DZF,72,Local crossbred,Cow,,left,16.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,204,Red Brahman,3.7,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,,0.0,2025-10,0.0,8.0,
140.0,DZF,DZF,DZF,2025-10-27,DZF,68,Local crossbred,Cow,,left,13.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-19,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,114.0,1.0,2025-10,0.0,8.0,
141.0,DZF,DZF,DZF,2025-10-27,DZF,100,Local crossbred,Cow,,left,14.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,,0.0,2025-10,0.0,8.0,
142.0,DZF,DZF,DZF,2025-10-27,DZF,31291,Local crossbred,Cow,,right,15.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-19,257,Grey Brahman,1.6,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,114.0,1.0,2025-10,0.0,8.0,
143.0,DZF,DZF,DZF,2025-10-27,DZF,31499,Local crossbred,Cow,,right,14.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
144.0,DZF,DZF,DZF,2025-10-27,DZF,31528,Local crossbred,Cow,,right,17.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,248,Grey Brahman,1.4,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
145.0,DZF,DZF,DZF,2025-10-27,DZF,32039,Local crossbred,Cow,Yes,left,18.5,Natural heat,Fresh,,,Ruben,Javeria,,7.0,1.0,Yes,7.0,,Open,,,,2025-10-19,204,Red Brahman,3.7,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,,0.0,2025-10,0.0,8.0,
146.0,DZF,DZF,DZF,2025-10-27,DZF,251,Local crossbred,Cow,Yes,left,12.0,Natural heat,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,257,Grey Brahman,1.6,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
147.0,DZF,DZF,DZF,2025-10-27,DZF,135,Local crossbred,Cow,Yes,right,17.0,Natural heat,Fresh,,,Ruben,Javeria,,7.0,1.0,,7.0,,Open,,,,2025-10-19,248,Grey Brahman,1.4,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-10,0.0,8.0,
148.0,DZF,DZF,DZF,2025-11-03,DZF,31591,Local crossbred,Cow,,right,15.5,CIDR+GnRH+PGF+GnRH,Frozen,,2025-09-24,Ruben,Umer,,7.0,1.0,,7.0,2025-12-03,Open,,,,2025-09-16,649,Grey Brahman,1.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-11,0.0,48.0,40.0
149.0,DZF,DZF,DZF,2025-11-03,DZF,31724,Local crossbred,Cow,,left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Umer,,7.0,1.0,,7.0,,Pregnant,,,,2025-10-26,612,Grey Brahman,2.2,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,107.0,1.0,2025-11,0.0,8.0,
150.0,DZF,DZF,DZF,2025-11-03,DZF,31733,Local crossbred,Cow,,left,10.25,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Umer,,7.0,1.0,,7.0,,Open,,,,2025-10-26,D3,Nukra,,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,,0.0,2025-11,0.0,8.0,
151.0,DZF,DZF,DZF,2025-11-03,DZF,31786,Local crossbred,Cow,,right,9.0,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Umer,,6.0,1.0,,7.0,,Open,,,,2025-10-26,612,Grey Brahman,2.2,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-11,0.0,8.0,
152.0,DZF,DZF,DZF,2025-11-03,DZF,31811,Local crossbred,Cow,,left,15.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Umer,,6.0,1.0,,7.0,,Open,,,,2025-10-26,04-08,Beef Master,3.6,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,,0.0,2025-11,0.0,8.0,
153.0,DZF,DZF,DZF,2025-11-03,DZF,31828,Local crossbred,Cow,,right,18.5,CIDR+GnRH+PGF+GnRH,Frozen,,2025-09-24,Ruben,Umer,,7.0,1.0,,7.0,,Open,,,,2025-09-16,649,Grey Brahman,1.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-11,0.0,48.0,40.0
154.0,DZF,DZF,DZF,2025-11-03,DZF,31874,Local crossbred,Cow,,right,18.0,CIDR+GnRH+PGF+GnRH,Frozen,,2025-09-24,Ruben,Umer,,7.0,1.0,,7.0,,Open,,,,2025-09-16,649,Grey Brahman,1.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-11,0.0,48.0,40.0
155.0,DZF,DZF,DZF,2025-11-03,DZF,31922,Local crossbred,Cow,,right,13.5,CIDR+GnRH+PGF+GnRH,Frozen,,2025-09-24,Ruben,Umer,,7.0,1.0,,7.0,,Open,,,,2025-09-16,649,Grey Brahman,1.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-11,0.0,48.0,40.0
156.0,DZF,DZF,DZF,2025-11-03,DZF,32062,Local crossbred,Cow,,right,10.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Umer,,7.0,1.0,,7.0,,Open,,,,2025-10-26,612,Grey Brahman,2.2,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-11,0.0,8.0,
157.0,DZF,DZF,DZF,2025-11-03,DZF,32141,Local crossbred,Cow,,left,11.5,CIDR+GnRH+PGF+GnRH,Frozen,,2025-09-24,Ruben,Umer,,7.0,1.0,,7.0,,Open,,,,2025-09-16,649,Grey Brahman,1.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-11,0.0,48.0,40.0
158.0,DZF,DZF,DZF,2025-11-03,DZF,32145,Local crossbred,Cow,,left,14.5,CIDR+GnRH+PGF+GnRH,Frozen,,2025-09-24,Ruben,Umer,,7.0,1.0,,7.0,,Pregnant,,,,2025-09-16,649,Grey Brahman,1.5,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,107.0,1.0,2025-11,0.0,48.0,40.0
159.0,DZF,DZF,DZF,2025-11-03,DZF,32171,Local crossbred,Cow,,left,14.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Umer,,6.0,1.0,,7.0,,Open,,,,2025-10-26,D3,Nukra,,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,,0.0,2025-11,0.0,8.0,
160.0,DZF,DZF,DZF,2025-11-03,DZF,32205,Local crossbred,Cow,,right,13.5,CIDR+GnRH+PGF+GnRH,Frozen,,2025-08-20,Ruben,Umer,,6.0,1.0,,7.0,,Open,,,,2025-08-12,827,Red Brahman,3.1,JDH Janos Manso 709,2.0,Conventional,Grey Brahman,,,,0.0,2025-11,0.0,83.0,75.0
